NODE_ID,PSGC,BARANGAY,MUNICIPALITY,MUNICIPALITY_CODE,PROVINCE,PROVINCE_CODE,AREA_KM2,CENTROID_LON,CENTROID_LAT,BOUNDARY_NAME_NORMALIZED,LOCALITY_NAME_NORMALIZED,CALIBRATION_STATUS,OUTBREAK_CASE_THRESHOLD,HISTORICAL_OR_PRIOR_MONTHLY_MEAN,HISTORICAL_OR_PRIOR_MONTHLY_STD,ANNUAL_GROWTH_RATE,NEIGHBOR_COUNT
87,1206312006,Koronadal Proper,Polomolok,1206312000,South Cotabato,1206300000,5.494422,124.99337862656444,6.2490907210000435,KORONADAL PROPER,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.3156516454716554,0.6310649682242248,0.03,5
88,1206312007,Lam-Caliaf,Polomolok,1206312000,South Cotabato,1206300000,12.841821,125.05347106377923,6.280605932000041,LAM CALIAF,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.5869492664105347,0.7629202604202943,0.03,8
89,1206312008,Landan,Polomolok,1206312000,South Cotabato,1206300000,38.749139,125.1470401157179,6.331612514500051,LANDAN,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.5082247411507501,0.7245109130165448,0.03,5
90,1206312009,Lumakil,Polomolok,1206312000,South Cotabato,1206300000,6.836199,125.02697935205126,6.210316675518513,LUMAKIL,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.284391800018561,0.6111332400089438,0.03,7
91,1206312011,Maligo,Polomolok,1206312000,South Cotabato,1206300000,26.528565,125.13245775252197,6.3009904590000465,MALIGO,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,2.0,1.1278213656145029,0.5366769267610013,0.03,7
92,1206312013,Palkan,Polomolok,1206312000,South Cotabato,1206300000,23.601601,125.05484215457221,6.325544006500052,PALKAN,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,4.0,2.0419815323915977,0.9767424952004161,0.03,9
93,1206312014,Poblacion,Polomolok,1206312000,South Cotabato,1206300000,12.387742,125.06723420011787,6.23643307200004,POBLACION,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,11.0,5.968199248575469,2.8563632020960834,0.03,6
94,1206312015,Polo,Polomolok,1206312000,South Cotabato,1206300000,20.802901,125.10415392335875,6.275712907000042,POLO,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.2144810511552877,0.5850826976360722,0.03,5
95,1206312016,Magsaysay,Polomolok,1206312000,South Cotabato,1206300000,8.837021,125.05998485791054,6.199267627500035,MAGSAYSAY,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.7074356470952001,0.8211810990806605,0.03,5
96,1206312017,Rubber,Polomolok,1206312000,South Cotabato,1206300000,6.815191,125.03989216724392,6.2004911591494345,RUBBER,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,4.0,2.1341086774071223,1.0188833525185217,0.03,4
97,1206312018,Silway 7,Polomolok,1206312000,South Cotabato,1206300000,10.699443,125.10914958144454,6.184673358000024,SILWAY 7,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.4982454719343672,0.720435113986225,0.03,4
98,1206312019,Silway 8,Polomolok,1206312000,South Cotabato,1206300000,16.555372,125.08587640015028,6.192569657500029,SILWAY 8,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.3845380509233705,0.6664665370933113,0.03,7
99,1206312020,Sulit,Polomolok,1206312000,South Cotabato,1206300000,10.689607,125.02660430015193,6.242678484000037,SULIT,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.2513230643741586,0.6003635519371251,0.03,7
100,1206312021,Sumbakil,Polomolok,1206312000,South Cotabato,1206300000,1.14788,124.98322326372995,6.254848083500065,SUMBAKIL,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,2.0,0.9132768833141515,0.43924794878679513,0.03,3
101,1206312022,Upper Klinan,Polomolok,1206312000,South Cotabato,1206300000,15.751406,125.11745094260203,6.235193491500041,UPPER KLINAN,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,3.0,1.7365811262275619,0.8344497384691615,0.03,6
102,1206312023,Lapu,Polomolok,1206312000,South Cotabato,1206300000,3.066681,125.01624234650765,6.2232699960000275,LAPU,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,2.0,0.9751062058964565,0.4650997928774204,0.03,5
103,1206312024,Cannery Site,Polomolok,1206312000,South Cotabato,1206300000,13.125117,125.0916523998853,6.235193491500041,CANNERY SITE,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,8.0,4.560865543646,2.175828417112202,0.03,6
104,1206312025,Pagalungan,Polomolok,1206312000,South Cotabato,1206300000,6.718778,125.04653034476098,6.23687902900005,PAGALUNGAN,POLOMOLOK,CALIBRATED_SOUTH_COTABATO,4.0,1.8804101964312143,0.9043805294142602,0.03,4
