YEAR,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,AUTOMATIC_OUTBREAK_ALERT_MONTHS,MAX_CRITICAL_BARANGAYS
2040,Banga,1206302000,373.028000,0.000000,1375.425000,0.217455,0.356000,0,0
2040,City of Koronadal,1206306000,110.044000,0.000000,659.250000,0.066346,0.184000,0,0
2040,Lake Sebu,1206319000,262.864000,0.000000,1015.425000,0.277316,0.388000,0,0
2040,Norala,1206311000,197.516000,0.000000,758.700000,0.131024,0.224000,0,0
2040,Polomolok,1206312000,692.364000,0.000000,2242.600000,0.337420,0.484000,101,0
2040,Santo Niño,1206318000,152.156000,0.000000,575.375000,0.183233,0.356000,0,0
2040,Surallah,1206313000,482.180000,0.000000,1593.625000,0.186784,0.332000,66,0
2040,T'Boli,1206316000,380.864000,0.000000,1436.950000,0.292240,0.416000,0,0
2040,Tampakan,1206314000,210.220000,0.000000,797.800000,0.190429,0.356000,0,0
2040,Tantangan,1206315000,53.772000,0.000000,321.500000,0.083923,0.200000,0,0
2040,Tupi,1206317000,209.436000,0.000000,806.575000,0.027222,0.176000,0,0
2041,Banga,1206302000,371.316000,0.000000,1370.875000,0.218818,0.368000,0,0
2041,City of Koronadal,1206306000,107.912000,0.000000,657.350000,0.064111,0.160000,0,0
2041,Lake Sebu,1206319000,262.024000,0.000000,1019.875000,0.275877,0.396000,0,0
2041,Norala,1206311000,200.032000,0.000000,770.825000,0.134238,0.204000,0,0
2041,Polomolok,1206312000,686.520000,0.000000,2287.550000,0.331754,0.464000,108,0
2041,Santo Niño,1206318000,152.136000,0.000000,576.250000,0.184533,0.312000,0,0
2041,Surallah,1206313000,481.640000,0.000000,1616.050000,0.187020,0.304000,72,0
2041,T'Boli,1206316000,378.424000,0.000000,1447.850000,0.287293,0.424000,0,0
2041,Tampakan,1206314000,205.580000,0.000000,793.800000,0.183738,0.324000,0,0
2041,Tantangan,1206315000,53.928000,0.000000,322.625000,0.084128,0.200000,0,0
2041,Tupi,1206317000,209.376000,0.000000,807.925000,0.029489,0.184000,0,0
2042,Banga,1206302000,369.436000,0.000000,1397.050000,0.218136,0.372000,0,0
2042,City of Koronadal,1206306000,108.376000,0.000000,654.600000,0.064605,0.172000,0,0
