DATE,MUNICIPALITY,MUNICIPALITY_CODE,POSTERIOR_MEAN_CASES,LOWER_CREDIBLE_CASES,UPPER_CREDIBLE_CASES,MEAN_OUTBREAK_PROBABILITY,MAX_OUTBREAK_PROBABILITY,LOW_ALERT_COUNT,MODERATE_ALERT_COUNT,HIGH_ALERT_COUNT,CRITICAL_ALERT_COUNT,AUTOMATIC_OUTBREAK_ALERT_COUNT,INDIVIDUAL_OUTBREAK_ALERT_COUNT,PROBABILISTIC_OUTBREAK_ALERT_COUNT,RED_CLUSTER_OUTBREAK_ALERT_COUNT,RED_CLUSTER_LIKELY_ORIGIN_COUNT,RED_CASE_ZONE_COUNT,NEW_AUTOMATIC_OUTBREAK_ONSET_COUNT,NEW_HIGH_RISK_ONSET_COUNT,MEAN_HOTSPOT_Z_SCORE,MAX_HOTSPOT_Z_SCORE,BARANGAY_COUNT,CALIBRATED_BARANGAY_COUNT
2026-09-01,Tantangan,1206315000,4.292000,0.000000,25.000000,0.081231,0.152000,13,0,0,0,0,0,0,0,0,0,0,0,-2.380985,-1.550091,13,13
2026-09-01,Tupi,1206317000,19.296000,0.000000,64.775000,0.026400,0.140000,15,0,0,0,0,0,0,0,0,1,0,0,0.512772,2.572445,15,15
2026-10-01,Banga,1206302000,29.160000,0.000000,96.875000,0.194545,0.336000,20,2,0,0,0,0,0,0,0,0,0,0,0.273807,2.367134,22,22
2026-10-01,City of Koronadal,1206306000,8.748000,0.000000,54.100000,0.062519,0.128000,27,0,0,0,0,0,0,0,0,0,0,0,-2.821224,-1.381527,27,27
2026-10-01,Lake Sebu,1206319000,20.636000,0.000000,74.000000,0.254526,0.368000,16,3,0,0,0,0,0,0,0,0,0,0,-0.190449,1.970856,19,19
2026-10-01,Norala,1206311000,16.076000,0.000000,57.550000,0.108571,0.156000,14,0,0,0,0,0,0,0,0,0,0,0,-0.349498,0.147055,14,14
2026-10-01,Polomolok,1206312000,53.900000,1.225000,149.875000,0.318783,0.444000,11,12,0,0,3,0,0,3,1,6,0,0,3.369268,6.897252,23,23
2026-10-01,Santo Niño,1206318000,12.536000,0.000000,42.550000,0.174800,0.280000,10,0,0,0,0,0,0,0,0,0,0,0,0.050999,0.300637,10,10
2026-10-01,Surallah,1206313000,39.908000,0.000000,112.325000,0.162824,0.272000,17,0,0,0,8,0,0,8,1,8,2,0,2.659447,3.814299,17,17
2026-10-01,T'Boli,1206316000,28.464000,0.000000,96.100000,0.259040,0.364000,20,5,0,0,0,0,0,0,0,0,0,0,-0.198415,1.209637,25,25
2026-10-01,Tampakan,1206314000,15.548000,0.000000,53.000000,0.153429,0.272000,14,0,0,0,0,0,0,0,0,0,0,0,-0.588281,-0.167081,14,14
2026-10-01,Tantangan,1206315000,4.280000,0.000000,23.000000,0.079692,0.136000,13,0,0,0,0,0,0,0,0,0,0,0,-2.426485,-1.688814,13,13
2026-10-01,Tupi,1206317000,19.544000,0.000000,64.550000,0.027467,0.172000,15,0,0,0,0,0,0,0,0,1,0,0,0.542921,2.522173,15,15
2026-11-01,Banga,1206302000,29.464000,0.000000,95.550000,0.195818,0.324000,19,3,0,0,0,0,0,0,0,0,0,0,0.346141,2.604491,22,22
2026-11-01,City of Koronadal,1206306000,9.040000,0.000000,53.325000,0.066519,0.128000,27,0,0,0,0,0,0,0,0,0,0,0,-2.789623,-1.153464,27,27
2026-11-01,Lake Sebu,1206319000,20.464000,0.000000,72.325000,0.257263,0.356000,14,5,0,0,0,0,0,0,0,0,0,0,-0.202965,1.952680,19,19
2026-11-01,Norala,1206311000,16.388000,0.000000,55.775000,0.113714,0.156000,14,0,0,0,0,0,0,0,0,0,0,0,-0.303620,0.217163,14,14
2026-11-01,Polomolok,1206312000,53.828000,2.000000,155.100000,0.308522,0.404000,9,14,0,0,3,0,0,3,1,6,0,0,3.347083,6.783216,23,23
2026-11-01,Santo Niño,1206318000,12.876000,0.000000,42.775000,0.172000,0.296000,10,0,0,0,0,0,0,0,0,0,0,0,0.119499,0.378502,10,10
2026-11-01,Surallah,1206313000,40.432000,0.000000,114.550000,0.167529,0.304000,16,1,0,0,6,0,0,6,1,8,0,0,2.701463,3.865603,17,17
2026-11-01,T'Boli,1206316000,27.956000,0.000000,96.550000,0.256000,0.348000,18,7,0,0,0,0,0,0,0,0,0,0,-0.294716,1.273718,25,25
2026-11-01,Tampakan,1206314000,15.524000,0.000000,54.100000,0.155714,0.284000,14,0,0,0,0,0,0,0,0,0,0,0,-0.603702,-0.139771,14,14
2026-11-01,Tantangan,1206315000,4.268000,0.000000,26.550000,0.079385,0.152000,13,0,0,0,0,0,0,0,0,0,0,0,-2.426845,-1.568005,13,13
2026-11-01,Tupi,1206317000,19.152000,0.000000,63.775000,0.029600,0.160000,15,0,0,0,0,0,0,0,0,1,0,0,0.430410,2.420599,15,15
2026-12-01,Banga,1206302000,29.448000,0.000000,93.550000,0.191091,0.284000,22,0,0,0,0,0,0,0,0,0,0,0,0.305351,2.560481,22,22
2026-12-01,City of Koronadal,1206306000,8.896000,0.000000,53.775000,0.060296,0.128000,27,0,0,0,0,0,0,0,0,0,0,0,-2.788968,-1.355870,27,27
2026-12-01,Lake Sebu,1206319000,20.400000,0.000000,74.325000,0.256632,0.344000,15,4,0,0,0,0,0,0,0,0,0,0,-0.196807,2.070244,19,19
2026-12-01,Norala,1206311000,15.864000,0.000000,54.775000,0.105429,0.152000,14,0,0,0,0,0,0,0,0,0,0,0,-0.378259,0.252505,14,14
2026-12-01,Polomolok,1206312000,54.484000,1.000000,151.775000,0.322261,0.440000,10,13,0,0,3,0,0,3,1,6,0,0,3.410993,6.756023,23,23
2026-12-01,Santo Niño,1206318000,13.256000,0.000000,44.775000,0.188800,0.316000,8,2,0,0,0,0,0,0,0,0,0,0,0.191020,0.343314,10,10
2026-12-01,Surallah,1206313000,41.120000,0.000000,111.550000,0.174824,0.260000,17,0,0,0,6,0,0,6,1,8,0,0,2.737565,3.964931,17,17
2026-12-01,T'Boli,1206316000,27.824000,0.000000,99.650000,0.251680,0.336000,20,5,0,0,0,0,0,0,0,0,0,0,-0.293210,1.142354,25,25
2026-12-01,Tampakan,1206314000,14.956000,0.000000,50.775000,0.142286,0.248000,14,0,0,0,0,0,0,0,0,0,0,0,-0.740834,-0.377907,14,14
2026-12-01,Tantangan,1206315000,4.480000,0.000000,25.775000,0.087385,0.136000,13,0,0,0,0,0,0,0,0,0,0,0,-2.383313,-1.622272,13,13
2026-12-01,Tupi,1206317000,19.372000,0.000000,65.550000,0.026933,0.164000,15,0,0,0,0,0,0,0,0,1,0,0,0.468996,2.843874,15,15
2027-01-01,Banga,1206302000,27.968000,0.000000,93.775000,0.176000,0.288000,22,0,0,0,0,0,0,0,0,0,0,0,0.120986,2.100237,22,22
2027-01-01,City of Koronadal,1206306000,8.456000,0.000000,54.100000,0.063111,0.156000,27,0,0,0,0,0,0,0,0,0,0,0,-2.907836,-1.540191,27,27
2027-01-01,Lake Sebu,1206319000,21.116000,0.000000,72.325000,0.272421,0.376000,12,7,0,0,0,0,0,0,0,1,0,0,-0.112554,1.935600,19,19
2027-01-01,Norala,1206311000,15.900000,0.000000,55.000000,0.107714,0.152000,14,0,0,0,0,0,0,0,0,0,0,0,-0.381823,0.051233,14,14
2027-01-01,Polomolok,1206312000,52.636000,2.000000,148.875000,0.306783,0.424000,10,13,0,0,9,0,0,9,1,9,6,0,3.472911,7.028817,23,23
2027-01-01,Santo Niño,1206318000,12.168000,0.000000,41.775000,0.165600,0.280000,10,0,0,0,0,0,0,0,0,0,0,0,-0.016678,0.150462,10,10
2027-01-01,Surallah,1206313000,36.288000,0.000000,109.100000,0.127529,0.184000,17,0,0,0,0,0,0,0,0,5,0,0,2.308873,3.260599,17,17
2027-01-01,T'Boli,1206316000,29.840000,0.000000,102.325000,0.278880,0.396000,15,10,0,0,0,0,0,0,0,0,0,0,-0.020391,1.294450,25,25
2027-01-01,Tampakan,1206314000,17.432000,0.000000,58.550000,0.174000,0.292000,14,0,0,0,0,0,0,0,0,0,0,0,-0.174994,0.314401,14,14
2027-01-01,Tantangan,1206315000,4.240000,0.000000,26.775000,0.075077,0.116000,13,0,0,0,0,0,0,0,0,0,0,0,-2.514704,-1.807388,13,13
